I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,You believe God will protect you from COVID-19.,"Well, we don’t know who is naturally able to avoid getting COVID-19.  The vaccine is the best way to avoid it even if you have a good immune system.  Most religious leaders are recommending that their congregants get vaccinated. ",Do you think everyone in healthcare is in it for the money?,"Otherwise, the fight against COVID is hard, so stop these thoughts.","Well, taking covid vaccine can help you in developing immunity against the virus. You won't be able to spread the virus among your closed ones. This can create a safe environment for everyone. So my advice is that you should get vaccinated as soon as possible.",How does your opinion affect the people around you?,antivax
"Doctor x, I don’t want the Covid vaccine for me or my kids. They don’t know enough about how safe it is and what long term side effects it causes. It is not for me or my family. ","You are worried about long term effects from the vaccine that might not have been found, and don’t want to take that risk for you or your family.  You are trying to do the right thing and for now not getting vaccinated feels like the best thing for you and your family. ",You're concerned that not enough research has been done on the vaccine.,You want more information before choosing to vaccinate yourself or your family.,Let me tell you about what we know about how safe it is and side effects. We have lots of data about that now.  I think it is the right thing for you and your family,Don't you know the long-term side effects of getting. COVID-19?,"If indicated, trust that it is safe.",I can absolutely respect that decision. Is there any information that I can give you about the vaccine that you would find helpful in solidifying your decision?,"The Covid vaccine is very safe and only very few people had any kind of dangerous side effects. Covid, at the other hand, has killed millions of people. You are putting your kids and yourself in risk.",antivax
I know I should probably get the vaccine. I have my mother living with me and she has type-2 diabetes. I would hate to bring it home to her. But I just don’t know about those side effects. I heard it changes your DNA and the vaccine can give you the virus.,"While you have some concerns about the vaccine, part of you feels it would  protect your mother and you don’t want to be responsible for her getting sick.  Sounds like finding answers to your questions about the safety of the vaccine might help you decide.    ","You want to protect your mom, but you're worried about the side effects of being vaccinated.",You don't want to give your mom COVID.,"You need to protect your mother and get over your worries. The thing is safe. You cannot get the virus from the vaccine, and it cannot change your DNA. mRNA vaccines don’t work like that.   ",Do you believe the side effects of the vaccine are worse for you than if you got COVID-19?,"Follow what experts say, not what you hear from others.",I know it can sound intimidating but consider what's important to you and make a decision based on that.,"Stop listening to bad advice and get the facts. The vaccine is innate, it cannot give you the virus or make it so you are positive and spread it to others. That does not mean you can't get the virus even when vaccinated a lot of people have.",antivax
I heard from my friend that you can get the COVID from the vaccine.,You feel confused about the efficacy or benefits of the vaccine. It makes you question whether or not getting the vaccine is the right choice for you.,You are nervous about receiving the vaccine because of what you've heard about people getting sick after.,You think you can get COVID from the vaccine.,That's just a rumor anti-vaxxers spread.,Aren't you worried you might die from COVID if you don't get the vaccine?,"Have you read information from the CDC about the vaccine? I think that would be helpful, to get the facts from a scientific point of view.",Trust health professionals not by what others say.,"Since the vaccine doesn't contain any virus in it, that is probably not likely.",antivax
I heard from my cousin that the COVID vaccine makes you sterile.,"You are concerned about some of the side effects of the CV vaccine, especially since you've heard it may impact your ability to have children.","You want to have kids one day. Since you've heard that the vaccine may make you sterile, you're worried that it might not be a great choice for you.",You've heard the COVID vaccine may prevent you from having kids.,There's no research to support that's true.,Do you want to get pregnant and then die because you're not vaccinated?,That is a genuine concern but there is no evidence to support that claim. So you have no reason to worry about it.,It is in the paperwork that they do not know the effects of the shot on fertility. I would suggest you read through the fact sheets about it and make an informed decision.,That's not proved by science. that is kind of rumor.,antivax
"If I sign up to be an organ donor and I’m in a life-threatening situation, doctors won’t give me the best care. They won’t try as hard to save my life.",You're worried that doctors won't do everything they can to save you in a life threatening situation if you're an organ donor.,You're considering organ donation but you have a couple concerns you'd like to talk through first.,You're unsure about organ donation.,Your doctor is legally obligated to save your life.,Do you know how many people could be saved by one person's death if most organs can be used?,Why do you think that? Don't be so pessimistic.,That's absolutely not true! when you are in dagner you will always be the priority. But think how good it is to have the chance to save another life!,"That's a lie, because that's something that doesn't work that way, life always comes first.",antivax
I know it’s probably the right thing to do but I’m just not sure I am comfortable with the idea of someone cutting me up after I pass.,"You understand the value of organ donation. Ideally, you'd like to donate your organs but you get a little squeamish when you think about it. ",You're really on the fence about what you want your family to do with your body after you pass.,You aren't sure about organ donation.,Organ donors can have open-casket funeral without signs of organ donation. This shouldn't weigh into your decision to become an organ donor.,"You know people have clothing on for their funeral and showing, right?","This is not pleasant for anyone, but always seek help or even ignore it.","It is a hard to accept things that could happen after passing. Nothing is really appealing, but by donating organs, you could save a lot of lives.","You must consider what will bring you the best results in the future, it may seem scary now but it will be better on the long run.",antivax
"I’ve thought about it but don’t know if it’s for me.  I guess God would want you to help out someone in need, but it’s not exactly mentioned in the bible that we should do it.","If organ donation was discussed in the bible and you knew that God wanted you to do it, you'd definitely agree to it. ",You've started thinking about organ donation and whether or not it's the right path for you.,You're not sure organ donation is for you.,"Most major religions allow organ donation, including your denomination. ",Do you need all of your decisions to be mentioned in the bible in order for you to do it?,"If you don't feel comfortable with it, then that's all that matters.","The Bible always tells stories of good commandments, it's up to you to know how to interpret and do good.",Why do you think it is not for you?,antivax
You know how they treat us. They are just going to give our organs to some rich white folks. You can’t trust the medical system. Look at what they did down at Tuskegee.,"If there was a way to guarantee that someone who really could benefit from your organs would receive them, and not just another rich white person, you might consider organ donation. ","Because of an ethically abusive and moally unjust medical situation, you're understandably questioning whether or not the people talking to you about organ donation are really trustworthy. ",You don't really trust doctors.,"The main factors when matching donors and receipients are related to your blood type and severity. Your race, finances, or celebrity status have no bearing on who gets an organ first.",Have you been treated poorly with your treatment so far?,"It doesn't always work that way, have more confidence in the doctors.",GOOD RESPONSE,I think there are more guidelines in place now to prevent those types of situations.,antivax
Why should I give my organs so I can save some white person’s life?,You'd rather your organs go to waste than save some white person's life.,"Since you won't be able to have a say in who receives your organs, it makes you question whether or not organ donation is right for you. ",You don't want your organs to save someones life who you feel is undeserving.,"Organ receipients are not chosen by race or other social stratta. The process is well-documented and data demonstrates that organ donation is equitable across race.
",What if you knew your organs would go to people who share your racial background?,"It's not for the race, it's for a life.",VERY NICE,"Because they arent just white people, they are fellow human beings.",antivax
I don’t know if I want to vaccinate my child. I want to protect my child against disease but some of my friends think it causes autism. I’m not sure it does but I will regret it if something happened.,"You've heard that there might be a connection between vaccination and autism but you're not sure if it's true. If it's ok with you, I can share more...",You're on the fence about vaccination because of what you've heard from friends. You would regret if the rumor was true but you also are willing to do what it takes to protect your child.,You're unsure about vaccination.,It's your job to protect your child and you need to find stand up to your friends who are pushing you to take unnecessary health risks.,Why would you keep a life saving vaccine from your child?,"The vaccine is advanced, rumors from friends should not be taken into account for medical indications, vaccines save lives.",Make sure to do your research and find out everything you need to know about the vaccine.,I suggest reading up on the science of vaccines and making a decision.,antivax
